,geo,affgeoid,PubTrans_16,MeanTime_16,UnempRate_16,OnlyHighSchool_16,OnlyBachelors_16,OnlyGraduate_16,VacancyPercent_16,RentalVacancyRate_16,MedianValue_16,RentMedian_16,MedianIncome_16,Median_income,LogUnempRate_16,LogRentalVacancy_16,LogVacancyRate_16,LogGraduate_16,LogBachelors_16,LogPubTrans_16,LogMedianValue_16
108,"Census Tract 34.05, Honolulu County, Hawaii",15003003405,15.6,20.5,3.9,18,28.2,21.2,7.7,1.00E-05,355500,1200,45432,45432,1.360976553,-11.51292546,2.041220329,3.054001182,3.339321978,2.747270914,12.78128053
109,"Census Tract 34.06, Honolulu County, Hawaii",15003003406,15.9,23.7,8.8,28.3,23.4,13,9.9,6.3,328200,1260,51468,51468,2.174751721,1.840549633,2.292534757,2.564949357,3.152736022,2.766319109,12.70137846
110,"Census Tract 34.07, Honolulu County, Hawaii",15003003407,5.5,17.7,1.00E-05,22.7,18.5,35,15,9.3,496500,3046,55938,55938,-11.51292546,2.2300144,2.708050201,3.555348061,2.917770732,1.704748092,13.11533876
111,"Census Tract 35.01, Honolulu County, Hawaii",15003003501,11.5,19.2,3.1,18.6,35.7,11.2,10.5,6.3,303700,1270,54635,54635,1.131402111,1.840549633,2.351375257,2.415913778,3.575150689,2.442347035,12.62379565
112,"Census Tract 35.02, Honolulu County, Hawaii",15003003502,20.9,20.3,2.3,26.7,22.1,8.8,6.3,2,448700,1112,44782,44782,0.832909123,0.693147181,1.840549633,2.174751721,3.095577609,3.039749159,13.01410979
113,"Census Tract 36.01, Honolulu County, Hawaii",15003003601,7.6,21.1,1.3,20.7,25.3,12.3,22.1,10.2,634600,1191,56023,56023,0.262364264,2.32238772,3.095577609,2.509599262,3.230804396,2.028148247,13.36075016
114,"Census Tract 36.03, Honolulu County, Hawaii",15003003603,18.4,18.7,7.9,28.7,22.5,5.8,10,1.00E-05,316800,1023,26547,26547,2.066862759,-11.51292546,2.302585093,1.757857918,3.113515309,2.912350665,12.66602594
115,"Census Tract 36.04, Honolulu County, Hawaii",15003003604,16,20,4.1,19.1,35.9,9.8,18.5,9.8,353300,1261,45352,45352,1.410986974,2.282382386,2.917770732,2.282382386,3.580737295,2.772588722,12.77507283
116,"Census Tract 37, Honolulu County, Hawaii",15003003700,12.5,22,2,10.6,39.7,30.8,27.8,8,651000,2228,79435,79435,0.693147181,2.079441542,3.325036021,3.42751469,3.681351188,2.525728644,13.38626492
117,"Census Tract 38, Honolulu County, Hawaii",15003003800,10.2,20.9,2.8,17.1,35.2,16.5,13.4,4.6,581000,1323,63889,63889,1.029619417,1.526056303,2.595254707,2.803360381,3.561046083,2.32238772,13.27250604
118,"Census Tract 39, Honolulu County, Hawaii",15003003900,20.3,24.5,6.3,26.9,23.4,7.7,1.7,1.00E-05,337500,601,25774,25774,1.840549633,-11.51292546,0.530628251,2.041220329,3.152736022,3.010620886,12.72932079
119,"Census Tract 40, Honolulu County, Hawaii",15003004000,11.9,17.6,9.2,16.1,36.7,24,31.3,22,439300,1457,85729,85729,2.219203484,3.091042453,3.443618098,3.17805383,3.602776755,2.4765384,12.99293783
120,"Census Tract 41, Honolulu County, Hawaii",15003004100,16.5,22.6,1.4,21.2,24.3,9,9.9,8.7,335600,1080,51493,51493,0.336472237,2.163323026,2.292534757,2.197224577,3.19047635,2.803360381,12.72367525
121,"Census Tract 42, Honolulu County, Hawaii",15003004200,12.5,23.5,2.4,17.7,27.1,25.9,9.6,5.1,399000,1447,71780,71780,0.875468737,1.62924054,2.261763098,3.254242969,3.299533728,2.525728644,12.8967167
122,"Census Tract 43, Honolulu County, Hawaii",15003004300,15.6,23.7,3.4,15.5,23.2,19.7,11.3,7.9,516400,1167,61408,61408,1.223775432,2.066862759,2.424802726,2.980618636,3.144152279,2.747270914,13.15463694
123,"Census Tract 44, Honolulu County, Hawaii",15003004400,9,22.7,4.9,35.1,22,7.7,6,1.00E-05,649100,1423,96900,96900,1.589235205,-11.51292546,1.791759469,2.041220329,3.091042453,2.197224577,13.38334207
124,"Census Tract 45, Honolulu County, Hawaii",15003004500,4.1,22.1,2.8,18.9,27,26.1,11.6,5.3,828600,2035,88043,88043,1.029619417,1.667706821,2.451005098,3.261935314,3.295836866,1.410986974,13.62749281
125,"Census Tract 46, Honolulu County, Hawaii",15003004600,0.6,20.8,3.2,29.2,30.7,13.3,6.3,1.00E-05,894300,1975,103182,103182,1.16315081,-11.51292546,1.840549633,2.587764035,3.424262655,-0.510825624,13.70379657
126,"Census Tract 47, Honolulu County, Hawaii",15003004700,6.5,23.1,6.2,20,29.7,16.6,11.3,1.00E-05,832600,1740,91603,91603,1.824549292,-11.51292546,2.424802726,2.809402695,3.391147046,1.871802177,13.63230861
127,"Census Tract 48, Honolulu County, Hawaii",15003004800,10.1,24,6.2,30,19.9,8.5,7.7,1.00E-05,672900,1183,72060,72060,1.824549292,-11.51292546,2.041220329,2.140066163,2.990719732,2.312535424,13.41935201
128,"Census Tract 49, Honolulu County, Hawaii",15003004900,16.1,23.9,3.8,23.7,19,7,11.6,10.8,603500,1224,64196,64196,1.335001067,2.379546134,2.451005098,1.945910149,2.944438979,2.778819272,13.31050132
129,"Census Tract 50, Honolulu County, Hawaii",15003005000,12,21.9,3.7,27,20.1,9,2.4,1.00E-05,478300,1174,61803,61803,1.30833282,-11.51292546,0.875468737,2.197224577,3.000719815,2.48490665,13.07799343
130,"Census Tract 51, Honolulu County, Hawaii",15003005100,11.9,20.3,1.8,19,20.5,18.1,0.5,1.00E-05,499700,888,43269,43269,0.587786665,-11.51292546,-0.693147181,2.895911938,3.020424886,2.4765384,13.1217632
131,"Census Tract 52, Honolulu County, Hawaii",15003005200,30.7,27.9,4.9,25.9,6.4,3.5,1.00E-05,1.00E-05,NA,818,29274,29274,1.589235205,-11.51292546,-11.51292546,1.252762968,1.85629799,3.424262655,NA
132,"Census Tract 53, Honolulu County, Hawaii",15003005300,28.1,28.8,6.4,23.9,15,2.4,2.3,0.5,310600,1277,32768,32768,1.85629799,-0.693147181,0.832909123,0.875468737,2.708050201,3.335769576,12.64626119
133,"Census Tract 54, Honolulu County, Hawaii",15003005400,38.5,28.3,18.6,42.1,3.7,1.7,2.5,0.9,NA,455,22813,22813,2.923161581,-0.105360516,0.916290732,0.530628251,1.30833282,3.650658241,NA
134,"Census Tract 55, Honolulu County, Hawaii",15003005500,28.9,28.1,5.1,25.9,11.4,0.9,4.5,3.2,350000,962,40313,40313,1.62924054,1.16315081,1.504077397,-0.105360516,2.433613355,3.363841595,12.76568843
135,"Census Tract 56, Honolulu County, Hawaii",15003005600,24.7,23.7,3.2,26.5,13.4,2.5,2.4,1.3,581500,1033,53189,53189,1.16315081,0.262364264,0.875468737,0.916290732,2.595254707,3.206803244,13.27336625
136,"Census Tract 57, Honolulu County, Hawaii",15003005700,30,24.8,8.2,31.7,13,4.9,8.7,7.3,461600,784,40682,40682,2.104134154,1.987874348,2.163323026,1.589235205,2.564949357,3.401197382,13.04245399
137,"Census Tract 58, Honolulu County, Hawaii",15003005800,26,24.2,5.3,30.1,12.6,0.8,1,1.00E-05,249500,1015,46250,46250,1.667706821,-11.51292546,0,-0.223143551,2.533696814,3.258096538,12.42721419
138,"Census Tract 59, Honolulu County, Hawaii",15003005900,25,24.6,3,42.1,3.9,0.9,7.2,8,600800,1156,49000,49000,1.098612289,2.079441542,1.974081026,-0.105360516,1.360976553,3.218875825,13.30601738
139,"Census Tract 60, Honolulu County, Hawaii",15003006000,40.3,28.2,3.5,28.6,9.1,1.2,3.5,3.3,NA,1322,73239,73239,1.252762968,1.193922468,1.252762968,0.182321557,2.208274414,3.696351469,NA
140,"Census Tract 61, Honolulu County, Hawaii",15003006100,23.4,24.5,3.6,32.9,10.4,0.6,5.9,9,700300,1424,92813,92813,1.280933845,2.197224577,1.774952351,-0.510825624,2.341805806,3.152736022,13.45926409
141,"Census Tract 62.01, Honolulu County, Hawaii",15003006201,26.6,28.4,2.9,35.6,8.9,1.9,1,1.6,531000,989,58897,58897,1.064710737,0.470003629,0,0.641853886,2.186051277,3.280911216,13.1825173
142,"Census Tract 62.02, Honolulu County, Hawaii",15003006202,33.8,29,15.2,44.9,1.00E-05,0.6,12.3,7.7,NA,408,23667,23667,2.721295428,2.041220329,2.509599262,-0.510825624,-11.51292546,3.520460802,NA
143,"Census Tract 63.01, Honolulu County, Hawaii",15003006301,22.7,30.6,6.2,29.4,12.8,7.1,5.2,7.2,647500,1680,89356,89356,1.824549292,1.974081026,1.648658626,1.960094784,2.549445171,3.122364924,13.38087407
144,"Census Tract 63.02, Honolulu County, Hawaii",15003006302,17.9,28.2,10.3,31,13.7,5,5.1,3.5,618300,770,45313,45313,2.332143895,1.252762968,1.62924054,1.609437912,2.617395833,2.884800713,13.33472906
145,"Census Tract 64.01, Honolulu County, Hawaii",15003006401,14.5,24.2,1.00E-05,23.9,11.1,0.3,1.00E-05,1.00E-05,657200,1383,91875,91875,-11.51292546,-11.51292546,-11.51292546,-1.203972804,2.406945108,2.674148649,13.39574367
146,"Census Tract 64.02, Honolulu County, Hawaii",15003006402,15.4,27.6,6.1,33.8,12.4,1.2,4.8,1.00E-05,610600,1482,106445,106445,1.808288771,-11.51292546,1.568615918,0.182321557,2.517696473,2.734367509,13.32219736
147,"Census Tract 65, Honolulu County, Hawaii",15003006500,18.6,28.7,3.9,32.3,17.8,6.8,4.5,10.7,604400,1624,101875,101875,1.360976553,2.370243741,1.504077397,1.916922612,2.879198457,2.923161581,13.31199151
148,"Census Tract 66, Honolulu County, Hawaii",15003006600,1.6,10.2,38.3,21.3,25.8,26.1,31.3,10.2,NA,NA,110625,110625,3.645449896,2.32238772,3.443618098,3.261935314,3.250374492,0.470003629,NA
149,"Census Tract 67.01, Honolulu County, Hawaii",15003006701,3.3,22.1,5.7,32.2,26.8,11.9,3.6,1.00E-05,745800,2340,95801,95801,1.740466175,-11.51292546,1.280933845,2.4765384,3.288401888,1.193922468,13.52221275
150,"Census Tract 67.02, Honolulu County, Hawaii",15003006702,4.4,22.1,7.9,29.2,18.1,11.8,4,1.5,654600,1819,54375,54375,2.066862759,0.405465108,1.386294361,2.468099531,2.895911938,1.481604541,13.39177964
151,"Census Tract 68.02, Honolulu County, Hawaii",15003006802,14,27.7,6.4,26.9,16.2,4.2,1.4,1.00E-05,619900,1789,97902,97902,1.85629799,-11.51292546,0.336472237,1.435084525,2.785011242,2.63905733,13.33731345
152,"Census Tract 68.04, Honolulu County, Hawaii",15003006804,1.00E-05,18.9,8.7,20.5,16.5,4.7,1.7,0.8,NA,2867,59674,59674,2.163323026,-0.223143551,0.530628251,1.547562509,2.803360381,-11.51292546,NA
